Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Tag,Year
1,1,ARI,Kyler Murray,QB,22,2023,0,2,4,57,57,65,MurrKy00,2019
1,2,SFO,Nick Bosa,DE,21,2023,1,4,3,50,50,68,BosaNi00,2019
1,3,NYJ,Quinnen Williams,DT,21,2023,1,2,4,43,43,74,WillQu00,2019
1,4,OAK,Clelin Ferrell,DE,22,2023,0,0,2,20,12,75,FerrCl00,2019
1,5,TAM,Devin White,LB,21,2023,0,1,4,45,45,76,WhitDe02,2019
1,6,NYG,Daniel Jones,QB,22,2023,0,0,4,38,38,60,JoneDa05,2019
1,7,JAX,Josh Allen,LB,22,2023,0,2,3,32,32,74,AlleJo03,2019
1,8,DET,T.J. Hockenson,TE,22,2023,0,2,2,27,16,72,HockTJ00,2019
1,9,BUF,Ed Oliver,DT,21,2023,0,0,3,37,37,78,OlivEd00,2019
1,10,PIT,Devin Bush Jr.,LB,21,2023,0,0,2,24,23,65,BushDe01,2019
1,11,CIN,Jonah Williams,G,21,2023,0,0,3,31,31,59,WillJo10,2019
1,12,GNB,Rashan Gary,LB,21,2023,0,0,2,20,20,73,GaryRa00,2019
1,13,MIA,Christian Wilkins,DT,23,2023,0,0,4,34,34,81,WilkCh00,2019
1,14,ATL,Chris Lindstrom,G,22,2023,0,2,3,33,33,71,LindCh00,2019
1,15,WAS,Dwayne Haskins,QB,22,2020,0,0,0,4,4,16,HaskDw00,2019
1,16,CAR,Brian Burns,DE,21,2023,0,2,3,36,36,80,BurnBr00,2019
1,17,NYG,Dexter Lawrence,DT,21,2023,0,2,3,43,43,80,LawrDe03,2019
1,18,MIN,Garrett Bradbury,C,24,2023,0,0,4,28,28,71,BradGa00,2019
1,19,TEN,Jeffery Simmons,DT,22,2023,0,2,4,42,42,68,SimmJe01,2019
1,20,DEN,Noah Fant,TE,21,2023,0,0,4,21,14,81,FantNo00,2019
1,21,GNB,Darnell Savage Jr.,S,22,2023,0,0,4,21,21,72,SavaDa00,2019
1,22,PHI,Andre Dillard,T,23,2023,0,0,0,11,6,59,DillAn00,2019
1,23,HOU,Tytus Howard,T,23,2023,0,0,4,25,25,61,HowaTy00,2019
1,24,OAK,Josh Jacobs,RB,21,2023,1,2,4,41,41,73,JacoJo01,2019
1,25,BAL,Marquise Brown,WR,22,2023,0,0,3,34,24,72,BrowMa04,2019
1,26,WAS,Montez Sweat,DE,23,2023,0,1,3,36,29,76,SweaMo00,2019
1,27,OAK,Johnathan Abram,S,22,2023,0,0,2,13,10,52,AbraJo01,2019
1,28,LAC,Jerry Tillery,DT,22,2023,0,0,1,19,14,79,TillJe00,2019
1,29,SEA,L.J. Collier,DE,23,2023,0,0,1,9,9,46,CollLJ00,2019
1,30,NYG,Deandre Baker,CB,22,2021,0,0,1,6,5,26,BakeDe00,2019
1,31,ATL,Kaleb McGary,T,24,2023,0,0,4,33,33,77,McGaKa00,2019
1,32,NWE,N'Keal Harry,WR,21,2023,0,0,1,7,6,49,HarrNK00,2019
2,33,ARI,Byron Murphy,CB,21,2023,0,0,3,23,18,70,MurpBy00,2019
2,34,IND,Rock Ya-Sin,CB,23,2023,0,0,1,14,11,66,Ya-SRo00,2019
2,35,JAX,Jawaan Taylor,T,21,2023,0,0,4,33,25,83,TaylJa02,2019
2,36,SFO,Deebo Samuel,WR,23,2023,1,1,3,43,43,66,SamuDe00,2019
2,37,CAR,Greg Little,T,21,2022,0,0,0,8,3,31,LittGr01,2019
2,38,BUF,Cody Ford,T,22,2023,0,0,1,17,13,66,FordCo00,2019
2,39,TAM,Sean Murphy-Bunting,CB,22,2023,0,0,1,19,13,67,BuntSe00,2019
2,40,OAK,Trayvon Mullen,CB,21,2022,0,0,2,10,10,46,MullTr00,2019
2,41,DEN,Dalton Risner,T,24,2023,0,0,4,25,21,77,RisnDa00,2019
2,42,DEN,Drew Lock,QB,22,2023,0,0,1,13,12,28,LockDr00,2019
2,43,DET,Jahlani Tavai,LB,22,2023,0,0,2,25,7,78,TavaJa00,2019
2,44,GNB,Elgton Jenkins,C,23,2023,0,2,3,38,38,70,JenkEl00,2019
2,45,NWE,Joejuan Williams,CB,21,2023,0,0,0,3,3,42,WillJo13,2019
2,46,CLE,Greedy Williams,CB,21,2022,0,0,1,8,8,39,WillGr00,2019
2,47,SEA,Marquise Blair,S,22,2022,0,0,0,2,2,25,BlaiMa01,2019
2,48,NOR,Erik McCoy,C,22,2023,0,1,4,31,31,74,McCoEr01,2019
2,49,IND,Ben Banogu,LB,23,2022,0,0,0,4,4,50,BanoBe00,2019
2,50,MIN,Irv Smith Jr.,TE,21,2023,0,0,0,9,8,49,SmitIr01,2019
2,51,TEN,A.J. Brown,WR,22,2023,0,3,4,57,27,77,BrowAJ00,2019
2,52,CIN,Drew Sample,TE,23,2023,0,0,1,5,5,61,SampDr00,2019
2,53,PHI,Miles Sanders,RB,22,2023,0,1,4,31,29,73,SandMi01,2019
2,54,HOU,Lonnie Johnson Jr.,CB,23,2023,0,0,0,9,8,68,JohnLo01,2019
2,55,HOU,Max Scharping,T,23,2023,0,0,3,18,16,79,SchaMa01,2019
2,56,KAN,Mecole Hardman,WR,21,2023,0,1,0,22,22,68,HardMe00,2019
2,57,PHI,JJ Arcega-Whiteside,WR,22,2021,0,0,0,2,2,40,ArceJJ00,2019
2,58,DAL,Trysten Hill,DT,21,2023,0,0,0,5,5,32,HillTr00,2019
2,59,IND,Parris Campbell,WR,22,2023,0,0,1,9,9,44,CampPa00,2019
2,60,LAC,Nasir Adderley,S,22,2022,0,0,3,13,13,50,AddeNa00,2019
2,61,LAR,Taylor Rapp,S,21,2023,0,0,3,20,18,73,RappTa00,2019
2,62,ARI,Andy Isabella,WR,22,2023,0,0,0,4,4,43,IsabAn00,2019
2,63,KAN,Juan Thornhill,S,23,2023,0,0,4,20,17,76,ThorJu00,2019
2,64,SEA,D.K. Metcalf,WR,21,2023,0,2,4,46,46,82,MetcDK00,2019
3,65,ARI,Zach Allen,DE,22,2023,0,0,3,21,16,62,AlleZa01,2019
3,66,PIT,Diontae Johnson,WR,23,2023,0,1,4,33,33,77,JohnDi01,2019
3,67,SFO,Jalen Hurd,WR,23,,0,0,0,0,0,0,HurdJa00,2019
3,68,NYJ,Jachai Polite,LB,22,2020,0,0,0,1,0,11,PoliJa00,2019
3,69,JAX,Josh Oliver,TE,22,2023,0,0,1,4,0,52,OlivJo00,2019
3,70,LAR,Darrell Henderson,RB,22,2023,0,0,1,15,15,54,HendDa00,2019
3,71,DEN,Dre'Mont Jones,DT,22,2023,0,0,2,23,17,73,JoneDr00,2019
3,72,CIN,Germaine Pratt,LB,23,2023,0,0,4,34,34,79,PratGe00,2019
3,73,CHI,David Montgomery,RB,22,2023,0,0,3,36,27,74,MontDa01,2019
3,74,BUF,Devin Singletary,RB,22,2023,0,0,4,34,28,78,SingDe00,2019
3,75,GNB,Jace Sternberger,TE,23,2020,0,0,0,1,1,18,SterJa00,2019
3,76,WAS,Terry McLaurin,WR,23,2023,0,1,4,37,37,80,McLaTe00,2019
3,77,NWE,Chase Winovich,DE,24,2023,0,0,0,11,10,56,WinoCh00,2019
3,78,MIA,Michael Deiter,G,23,2023,0,0,1,14,10,73,DeitMi00,2019
3,79,LAR,David Long,CB,21,2023,0,0,0,6,6,66,LongDa02,2019
3,80,CLE,Sione Takitaki,LB,24,2023,0,0,1,19,19,72,TakiSi00,2019
3,81,DET,Will Harris,S,23,2023,0,0,2,12,12,81,HarrWi02,2019
3,82,TEN,Nate Davis,G,22,2023,0,0,4,27,22,66,DaviNa01,2019
3,83,PIT,Justin Layne,CB,21,2022,0,0,0,3,3,52,LaynJu00,2019
3,84,KAN,Khalen Saunders,DT,23,2023,0,0,0,13,5,55,SaunKh00,2019
3,85,BAL,Jaylon Ferguson,DE,23,2021,0,0,1,8,8,38,FergJa02,2019
3,86,HOU,Kahale Warring,TE,22,2021,0,0,0,0,0,9,WarrKa00,2019
3,87,NWE,Damien Harris,RB,22,2023,0,0,3,16,15,44,HarrDa06,2019
